datetime,realised_variance,realised_volatility
2025-05-22 13:00:00.000 UTC,0.00008640811305100479,0.009295596433312108
2025-05-22 14:00:00.000 UTC,0.0000834553150874883,0.009135388064416767
2025-05-22 16:00:00.000 UTC,0.00008898222367582027,0.009433038941710156
2025-05-23 02:00:00.000 UTC,0.00008488369202932231,0.009213234612736305
2025-05-23 07:00:00.000 UTC,0.0000196316290563665,0.004430759422081784
2025-05-23 22:00:00.000 UTC,0.00011169539372577202,0.010568604152193989
2025-05-24 23:00:00.000 UTC,0.000021091518779993046,0.0045925503568271355
2025-05-25 01:00:00.000 UTC,0.00004748078644665312,0.006890630337396799
2025-05-25 02:00:00.000 UTC,0.00003186546530860717,0.005644950425699695
2025-05-25 06:00:00.000 UTC,0.00000969967701817029,0.003114430448440018
2025-05-25 23:00:00.000 UTC,0.000017983644470285735,0.004240712731403264
