datetime1h,whale_net_usd,whale_net_usd_24h,whale_burst_flag,etow_usd_log,etow_coins_log,whale_txn_count_log,wtoe_usd_log,wtoe_coins_log
2025-05-21 12:00:00+00:00,-101585586,-186778630.0,0,18.43641222280932,6.86171134048073,-0.6065160746392584,0.0,0.0
2025-05-21 14:00:00+00:00,-101419698,-355569469.0,0,18.434777900470305,6.839476438228843,1.5974066643536267,0.0,0.0
2025-05-21 16:00:00+00:00,-4411569,-309462890.0,0,18.219023389680235,6.621405651764134,1.5974066643536267,18.16353985189209,6.559615237493242
2025-05-21 17:00:00+00:00,-152018452,-388870898.0,1,18.839512472757797,7.239214973779806,1.7554240835584287,0.0,0.0
2025-05-22 03:00:00+00:00,-150689305,-486854132.0,0,18.83073069890228,7.215239978730097,-0.6065160746392584,0.0,0.0
2025-05-22 11:00:00+00:00,-116747876,-571904327.0,0,18.57552727019377,6.961296045910167,-0.6065160746392584,0.0,0.0
2025-05-22 13:00:00+00:00,-51685579,-708178293.0,0,17.76068938374627,6.139884552226255,-0.6065160746392584,0.0,0.0
2025-05-22 14:00:00+00:00,-256838783,-867126260.0,1,19.363959146413876,7.7475968386928855,1.7945816388314502,0.0,0.0
2025-05-22 15:00:00+00:00,-103163905,-962467496.0,0,18.451829601773603,6.8308742346461795,1.5974066643536267,0.0,0.0
2025-05-22 16:00:00+00:00,-172742094,-1238335212.0,1,19.36814378343489,7.746732907753622,1.7981461146005673,18.260203481773907,6.641182169740591
2025-05-22 17:00:00+00:00,-118483196,-1284579298.0,0,18.590281711016893,6.966967138613983,1.5974066643536267,0.0,0.0
2025-05-22 18:00:00+00:00,-51165721,-1187381505.0,0,17.750580373612266,6.129050210060545,-0.6065160746392584,0.0,0.0
2025-05-22 19:00:00+00:00,-50792475,-1451646465.0,0,17.743258791343084,6.1224928095143865,-0.6065160746392584,0.0,0.0
2025-05-22 22:00:00+00:00,-50645328,-1564929716.0,0,17.740357563280966,6.1224928095143865,-0.6065160746392584,0.0,0.0
2025-05-23 08:00:00+00:00,-106041101,-1723805186.0,0,18.47933733163589,6.863803391452954,1.5974066643536267,0.0,0.0
2025-05-23 09:00:00+00:00,-50777967,-1826815002.0,0,17.74297311768592,6.124683390894205,-0.6065160746392584,0.0,0.0
2025-05-23 12:00:00+00:00,-300974504,-2151927659.0,0,19.894309201232453,8.299285906897275,1.7554240835584287,18.7247034136665,7.130098510125578
2025-05-23 13:00:00+00:00,-65478746,-2150394030.0,0,17.997236174670192,6.396929655216146,-0.6065160746392584,0.0,0.0
2025-05-23 15:00:00+00:00,-112091720,-2347108533.0,0,18.534828031613017,6.92951677076365,-0.6065160746392584,0.0,0.0
2025-05-23 17:00:00+00:00,-233661232,-2500974748.0,0,19.269382902137412,7.665284718471351,1.5974066643536267,0.0,0.0
2025-05-23 18:00:00+00:00,83625967,-2496358531.0,0,0.0,0.0,-0.6065160746392584,18.24186465183147,6.642486801367256
2025-05-23 19:00:00+00:00,80286691,-2575741163.0,0,0.0,0.0,-0.6065160746392584,18.201114436664444,6.602587892189336
2025-05-23 20:00:00+00:00,142411622,-1949389634.0,0,0.0,0.0,1.5974066643536267,18.77423217580225,7.179307969504034
2025-05-23 21:00:00+00:00,82855063,-1962235494.0,0,0.0,0.0,-0.6065160746392584,18.232603422479503,6.641182169740591
2025-05-23 22:00:00+00:00,108231348,-1752418560.0,0,0.0,0.0,-0.6065160746392584,18.49978161439027,6.907755278982137
2025-05-24 03:00:00+00:00,104544367,-1546454495.0,0,0.0,0.0,1.5974066643536267,18.465122113425714,6.874198495453294
2025-05-24 05:00:00+00:00,271187791,-1270855135.0,0,0.0,0.0,-0.6065160746392584,19.418322098268057,7.824445930877619
2025-05-26 13:00:00+00:00,-68110766,-1186947449.0,0,18.03664586434922,6.429719478039138,-0.6065160746392584,0.0,0.0
2025-05-26 14:00:00+00:00,824859040,-211399104.0,0,17.805585398285558,6.202535517187923,1.5974066643536267,20.59420213502673,8.990067695753655
2025-05-26 15:00:00+00:00,-61371348,-156022576.0,0,17.93245365554784,6.324358962381311,-0.6065160746392584,0.0,0.0
