datetime,active_sending_addresses,active_receiving_addresses
2024-11-06 07:19:00.000 UTC,5436,3365
2024-11-06 07:43:00.000 UTC,4933,5496
2024-11-06 07:54:00.000 UTC,10989,10273
2024-11-06 08:04:00.000 UTC,6243,6450
2024-11-06 08:22:00.000 UTC,5449,8003
2024-11-06 08:30:00.000 UTC,6324,3820
2024-11-06 08:39:00.000 UTC,5741,4609
2024-11-06 08:47:00.000 UTC,5967,5013
2024-11-06 09:02:00.000 UTC,5095,6633
2024-11-06 09:04:00.000 UTC,5701,3682
2024-11-06 09:13:00.000 UTC,5071,5495
2024-11-06 09:28:00.000 UTC,5506,6057
2024-11-06 09:35:00.000 UTC,6013,4109
2024-11-06 09:53:00.000 UTC,5287,6815
2024-11-06 10:00:00.000 UTC,5847,4522
2024-11-06 10:13:00.000 UTC,5317,6768
2024-11-06 10:21:00.000 UTC,4550,4534
2024-11-06 10:36:00.000 UTC,3957,5068
2024-11-06 10:51:00.000 UTC,927,1902
2024-11-06 10:54:00.000 UTC,932,1430
2024-11-06 10:57:00.000 UTC,2784,3239
2024-11-06 11:10:00.000 UTC,2967,3653
2024-11-06 11:18:00.000 UTC,2541,3636
2024-11-06 11:20:00.000 UTC,2994,3484
2024-11-06 11:26:00.000 UTC,4205,3772
2024-11-06 11:38:00.000 UTC,3893,5878
2024-11-06 11:45:00.000 UTC,5065,4839
2024-11-06 11:54:00.000 UTC,4386,4112
2024-11-06 11:58:00.000 UTC,4872,3345
2024-11-06 12:15:00.000 UTC,5167,6271
2024-11-06 12:18:00.000 UTC,5132,5342
2024-11-06 12:31:00.000 UTC,5781,6167
2024-11-06 12:42:00.000 UTC,5964,5703
2024-11-06 12:59:00.000 UTC,6009,7342
2024-11-06 13:12:00.000 UTC,5657,6867
2024-11-06 13:20:00.000 UTC,5309,6725
2024-11-06 13:22:00.000 UTC,4278,3586
2024-11-06 13:28:00.000 UTC,4702,4606
2024-11-06 13:29:00.000 UTC,1244,1045
2024-11-06 13:31:00.000 UTC,6173,2024
2024-11-06 13:41:00.000 UTC,6238,5745
2024-11-06 13:44:00.000 UTC,5352,2544
2024-11-06 13:47:00.000 UTC,5585,2513
2024-11-06 13:49:00.000 UTC,1134,1069
2024-11-06 13:58:00.000 UTC,5339,6170
2024-11-06 14:02:00.000 UTC,2732,3031
2024-11-06 14:10:00.000 UTC,5325,5441
2024-11-06 14:15:00.000 UTC,3311,3218
2024-11-06 14:19:00.000 UTC,1925,2695
2024-11-06 14:20:00.000 UTC,622,902
2024-11-06 14:30:00.000 UTC,5449,6376
2024-11-06 14:35:00.000 UTC,2474,3109
2024-11-06 14:51:00.000 UTC,5035,4955
2024-11-06 14:52:00.000 UTC,5486,4390
2024-11-06 14:55:00.000 UTC,3011,3422
2024-11-06 14:58:00.000 UTC,1962,2037
2024-11-06 15:00:00.000 UTC,1060,1152
2024-11-06 15:06:00.000 UTC,5257,6506
2024-11-06 15:26:00.000 UTC,5414,7443
2024-11-06 15:58:00.000 UTC,5479,9095
2024-11-06 16:01:00.000 UTC,5520,5009
2024-11-06 16:07:00.000 UTC,5852,7190
2024-11-06 16:11:00.000 UTC,6414,6514
2024-11-06 16:21:00.000 UTC,5895,7727
2024-11-06 16:23:00.000 UTC,5989,6111
2024-11-06 16:25:00.000 UTC,4946,3971
2024-11-06 16:34:00.000 UTC,5860,6737
2024-11-06 16:43:00.000 UTC,6501,5760
2024-11-06 16:48:00.000 UTC,6251,4678
2024-11-06 16:55:00.000 UTC,4490,5416
2024-11-06 17:12:00.000 UTC,6418,8528
2024-11-06 17:15:00.000 UTC,6013,4311
2024-11-06 17:39:00.000 UTC,5352,10089
2024-11-06 17:42:00.000 UTC,5696,6683
2024-11-06 17:50:00.000 UTC,5286,6289
2024-11-06 18:14:00.000 UTC,5132,10220
2024-11-06 18:20:00.000 UTC,6243,5021
2024-11-06 18:29:00.000 UTC,6050,6540
2024-11-06 18:34:00.000 UTC,4845,5807
2024-11-06 18:39:00.000 UTC,5080,4050
2024-11-06 18:44:00.000 UTC,4693,2919
2024-11-06 18:46:00.000 UTC,3590,2936
2024-11-06 19:04:00.000 UTC,5336,8959
2024-11-06 19:09:00.000 UTC,6121,4981
2024-11-06 19:11:00.000 UTC,3454,2561
2024-11-06 19:16:00.000 UTC,2393,3431
2024-11-06 19:20:00.000 UTC,2334,3067
2024-11-06 19:33:00.000 UTC,5527,8115
