minute,total_reward,mint_reward,total_fee,transaction_count
2025-08-03 22:30:00.000 UTC,358374.17660379584,356822.8660714286,1551.31053236727,925
2025-08-03 22:37:00.000 UTC,358527.16967042617,357031.9017857142,1495.2678847119553,1214
2025-08-03 22:44:00.000 UTC,358517.0608383528,357191.9598214285,1325.101016924231,1273
2025-08-03 22:47:00.000 UTC,358070.1538839245,357232.3839285715,837.7699553529985,574
2025-08-03 22:52:00.000 UTC,358967.1324028865,357383.6517857141,1583.4806171723942,2894
2025-08-03 22:54:00.000 UTC,358019.3692563938,357383.6517857144,635.7174706794856,197
2025-08-03 23:04:00.000 UTC,358803.39422860293,357477.3169642857,1326.0772643172759,1559
2025-08-03 23:05:00.000 UTC,358155.26307527954,357599.08035714296,556.1827181366352,4211
2025-08-03 23:14:00.000 UTC,358980.3706512623,357649.9642857143,1330.40636554802,1547
2025-08-03 23:43:00.000 UTC,360561.8578548488,357259.74999999994,3302.107854848834,3254
2025-08-03 23:56:00.000 UTC,359320.02429328166,357095.18303571426,2224.841257567417,2906
2025-08-04 00:11:00.000 UTC,359316.58042978443,357012.7321428571,2303.8482869273207,3734
2025-08-04 00:13:00.000 UTC,357413.42952412536,357012.73214285716,400.69738126822773,398
2025-08-04 00:33:00.000 UTC,360341.37710975856,357598.01785714267,2743.3592526158523,3449
2025-08-04 00:34:00.000 UTC,357694.546435691,357598.0178571428,96.52857854828568,120
2025-08-04 00:39:00.000 UTC,358569.4067900373,357531.28124999994,1038.1255400373898,4916
2025-08-04 00:52:00.000 UTC,361567.81377703557,358971.0892857142,2596.7244913213935,3526
2025-08-04 01:26:00.000 UTC,364268.85814554157,358572.80803571426,5696.050109827307,3477
2025-08-04 01:31:00.000 UTC,361210.2761105174,359040.37053571426,2169.905574803132,1296
2025-08-04 01:38:00.000 UTC,360759.1692565185,359209.8437499998,1549.3255065186704,4149
2025-08-04 02:02:00.000 UTC,361829.60606325,358521.7410714285,3307.864991821444,2764
2025-08-04 02:03:00.000 UTC,358521.7410714286,358521.7410714286,0,1
2025-08-04 02:05:00.000 UTC,359450.1596873563,358468.96875000006,981.1909373562443,4641
2025-08-04 02:13:00.000 UTC,358618.1713969983,358111.89285714284,506.2785398554251,3238
2025-08-04 02:18:00.000 UTC,359315.36210838484,357978.0580357143,1337.3040726704978,1247
2025-08-04 02:19:00.000 UTC,359742.18077889306,357978.0580357143,1764.1227431787252,1054
2025-08-04 02:25:00.000 UTC,359521.6395112773,358396.29464285716,1125.3448684201405,1120
2025-08-04 02:31:00.000 UTC,359451.00675946794,358674.06249999994,776.9442594680002,954
2025-08-04 02:39:00.000 UTC,359988.5327677483,358986.3348214285,1002.1979463197082,1222
2025-08-04 03:07:00.000 UTC,363522.6515886412,358905.3928571428,4617.2587314984,2443
2025-08-04 03:09:00.000 UTC,360083.6890241195,358905.3928571428,1178.296166976699,2305
2025-08-04 03:16:00.000 UTC,360336.8107065911,358744.57142857136,1592.2392780197545,2355
2025-08-04 03:31:00.000 UTC,361020.8970651337,358704.1651785713,2316.7318865623515,2804
