datetime,exchange_netflow_usd
2024-11-06 02:13:00.000 UTC,1239547.6194862388
2024-11-06 02:31:00.000 UTC,31352150.30181596
2024-11-06 02:36:00.000 UTC,-21204755.252213225
2024-11-06 02:37:00.000 UTC,4427516.516658505
2024-11-06 02:44:00.000 UTC,-22435254.484904706
2024-11-06 03:23:00.000 UTC,13963435.21427621
2024-11-06 03:33:00.000 UTC,21348462.65383339
2024-11-06 04:01:00.000 UTC,8629648.364934921
2024-11-06 04:04:00.000 UTC,3844820.874245392
2024-11-06 04:37:00.000 UTC,12032616.026347518
2024-11-06 04:41:00.000 UTC,-14513962.31285998
2024-11-06 05:04:00.000 UTC,-967849.0048342347
2024-11-06 05:12:00.000 UTC,-1046720.2803165317
2024-11-06 05:18:00.000 UTC,3765038.802997887
2024-11-06 05:23:00.000 UTC,-24772387.687477395
2024-11-06 05:51:00.000 UTC,8595209.19733268
2024-11-06 06:02:00.000 UTC,2481138.9480428398
2024-11-06 06:08:00.000 UTC,-646071.0332373977
2024-11-06 06:16:00.000 UTC,-44069948.541085035
2024-11-06 06:18:00.000 UTC,247621.2941838876
2024-11-06 06:26:00.000 UTC,-18730362.807403922
2024-11-06 06:50:00.000 UTC,130406763.05619627
2024-11-06 07:11:00.000 UTC,10278618.718954325
2024-11-06 07:19:00.000 UTC,-123032421.2749424
2024-11-06 07:43:00.000 UTC,99489495.52150127
2024-11-06 07:54:00.000 UTC,-14697463.92735672
2024-11-06 08:04:00.000 UTC,-3966023.5924500227
2024-11-06 08:22:00.000 UTC,15846758.7540344
2024-11-06 08:30:00.000 UTC,39294142.29202494
2024-11-06 08:39:00.000 UTC,-146516912.7263764
2024-11-06 08:47:00.000 UTC,39963824.83422026
2024-11-06 09:02:00.000 UTC,-3556351.667819649
2024-11-06 09:04:00.000 UTC,-11854358.66417781
2024-11-06 09:13:00.000 UTC,1902864.9456275105
2024-11-06 09:28:00.000 UTC,-7577191.610302925
2024-11-06 09:35:00.000 UTC,5405281.912492292
2024-11-06 09:53:00.000 UTC,23929852.043364823
2024-11-06 10:00:00.000 UTC,24193509.187798273
2024-11-06 10:13:00.000 UTC,-15198846.03594632
2024-11-06 10:21:00.000 UTC,20565789.369240075
2024-11-06 10:36:00.000 UTC,-834685.1238441467
2024-11-06 10:51:00.000 UTC,12588847.255364813
2024-11-06 10:54:00.000 UTC,29522.04590718588
2024-11-06 10:57:00.000 UTC,-16810119.033426374
2024-11-06 11:10:00.000 UTC,-751455.9427907616
2024-11-06 11:18:00.000 UTC,43095.218802034855
2024-11-06 11:20:00.000 UTC,-25910799.03200499
2024-11-06 11:26:00.000 UTC,-42401007.62693264
2024-11-06 11:38:00.000 UTC,6281362.085993692
2024-11-06 11:45:00.000 UTC,-3457755.810921194
2024-11-06 11:54:00.000 UTC,5401380.496882975
2024-11-06 11:58:00.000 UTC,20647774.487369653
2024-11-06 12:15:00.000 UTC,-5955700.76461637
2024-11-06 12:18:00.000 UTC,394921.3363013456
2024-11-06 12:31:00.000 UTC,15600497.84429614
2024-11-06 12:42:00.000 UTC,-66927415.209410444
2024-11-06 12:59:00.000 UTC,19701290.325912297
2024-11-06 13:12:00.000 UTC,-9041827.008317549
2024-11-06 13:20:00.000 UTC,11570364.226258919
2024-11-06 13:22:00.000 UTC,-4910595.633025687
2024-11-06 13:28:00.000 UTC,10712570.144547546
2024-11-06 13:29:00.000 UTC,-3224224.0563853947
2024-11-06 13:31:00.000 UTC,107477.48255739902
2024-11-06 13:41:00.000 UTC,19905661.26422549
2024-11-06 13:44:00.000 UTC,1673833.9549399577
2024-11-06 13:47:00.000 UTC,938666.5598415285
2024-11-06 13:49:00.000 UTC,246721.9382627594
2024-11-06 13:58:00.000 UTC,14794987.788558435
2024-11-06 14:02:00.000 UTC,-8813262.295217838
2024-11-06 14:10:00.000 UTC,-8235838.377922727
2024-11-06 14:15:00.000 UTC,-23170588.436206724
2024-11-06 14:19:00.000 UTC,1351830.8276517354
2024-11-06 14:20:00.000 UTC,-113367.84822156775
2024-11-06 14:30:00.000 UTC,4902552.257224143
2024-11-06 14:35:00.000 UTC,7281348.536601573
2024-11-06 14:51:00.000 UTC,33324726.179295957
2024-11-06 14:52:00.000 UTC,-92068969.1143441
2024-11-06 14:55:00.000 UTC,-417345.97777386755
2024-11-06 14:58:00.000 UTC,5709292.646979416
2024-11-06 15:00:00.000 UTC,2588838.1941855475
2024-11-06 15:06:00.000 UTC,1468305.1197725646
2024-11-06 15:26:00.000 UTC,55449888.71974395
2024-11-06 15:58:00.000 UTC,81670645.33793214
2024-11-06 16:01:00.000 UTC,11434862.54520894
2024-11-06 16:07:00.000 UTC,-7365237.22915414
2024-11-06 16:11:00.000 UTC,20180658.298525542
2024-11-06 16:21:00.000 UTC,42653678.02632945
2024-11-06 16:23:00.000 UTC,13789258.621331334
2024-11-06 16:25:00.000 UTC,15773.532876752783
2024-11-06 16:34:00.000 UTC,20079001.750683293
2024-11-06 16:43:00.000 UTC,5489926.883383095
2024-11-06 16:48:00.000 UTC,-61346807.5075157
2024-11-06 16:55:00.000 UTC,12525361.028095517
2024-11-06 17:12:00.000 UTC,34564665.233143926
2024-11-06 17:15:00.000 UTC,-121933.88319155574
2024-11-06 17:39:00.000 UTC,27193827.80194582
2024-11-06 17:42:00.000 UTC,-6141510.240040235
2024-11-06 17:50:00.000 UTC,42511267.76527778
2024-11-06 18:14:00.000 UTC,35369067.70188601
2024-11-06 18:20:00.000 UTC,5273762.208610259
2024-11-06 18:29:00.000 UTC,12865087.402128488
2024-11-06 18:34:00.000 UTC,12193494.33637055
2024-11-06 18:39:00.000 UTC,-65292331.359554425
2024-11-06 18:44:00.000 UTC,694354.7705798754
2024-11-06 18:46:00.000 UTC,12082188.852898046
2024-11-06 19:04:00.000 UTC,-4362385.103739291
2024-11-06 19:09:00.000 UTC,-35609065.82852065
2024-11-06 19:11:00.000 UTC,12702058.323608436
2024-11-06 19:16:00.000 UTC,15792091.544470936
2024-11-06 19:20:00.000 UTC,11644149.956543736
2024-11-06 19:33:00.000 UTC,3296521.5894804746
2024-11-06 19:54:00.000 UTC,66075184.00390628
2024-11-06 20:15:00.000 UTC,75677417.6017344
2024-11-06 20:28:00.000 UTC,45003907.56011623
2024-11-06 20:38:00.000 UTC,31742381.961359337
2024-11-06 20:56:00.000 UTC,13771820.891849995
2024-11-06 21:16:00.000 UTC,43900950.536936015
2024-11-06 21:28:00.000 UTC,29746117.88232565
2024-11-06 21:32:00.000 UTC,45877231.03983395
2024-11-06 22:05:00.000 UTC,25765821.300189435
2024-11-06 22:08:00.000 UTC,-11781045.139778648
2024-11-06 22:24:00.000 UTC,56181842.2357319
